Gene,Protein,Gene Name(s),Species,Experiment accession,Comparison,log_2 fold change,Adjusted p-value,t-statistic
ENSG00000185483,ROR1,ROR1,homo sapiens,E-MTAB-5933,'oral squamous cell carcinoma; neoplasm' vs 'normal; 5 mm beyond neoplasm as visible by narrow band imaging' in 'mouth floor',-2.3,0.00403692640776571,
ENSG00000185483,ROR1,ROR1,homo sapiens,E-GEOD-48812,'DMSO; prostate carcinoma' at '24 hour' vs 'DMSO; normal' at '24 hour',2.3,0.0180417123483573,
ENSG00000185483,ROR1,ROR1,homo sapiens,E-MTAB-5933,'oral squamous cell carcinoma; neoplasm' vs 'normal; 5 mm beyond neoplasm as visible by white light' in 'mouth floor',-2.2,0.0065429974782576,
ENSG00000185483,ROR1,ROR1,homo sapiens,E-MTAB-9209,'5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide; 0.4 millimolar' vs 'none',2.2,0.0191282035747679,
ENSG00000185483,ROR1,ROR1,homo sapiens,E-GEOD-22529,'chronic lymphosyte leukemia' vs 'normal' on 'Affymetrix HG-U133A array',2.1,1.18087154459887e-9,
ENSG00000185483,ROR1,ROR1,homo sapiens,E-GEOD-48433,'NCI-H226; squamous cell lung carcinoma; P04' vs 'NCI-H226; squamous cell lung carcinoma; P0',2.1,0.00000104671302757636,
ENSG00000185483,ROR1,ROR1,homo sapiens,E-GEOD-68086,'glioblastoma' vs 'normal',-2.1,0.0000176608784248038,
ENSG00000185483,ROR1,ROR1,homo sapiens,E-GEOD-46493,'doxorubicin; 0.6 microgram per milliliter' vs 'none',-2,0.0000105834315569876,
ENSG00000185483,ROR1,ROR1,homo sapiens,E-GEOD-40517,'Med23 siRNA knockdown' vs 'control',-2,0.000133813177500106,
ENSG00000185483,ROR1,ROR1,homo sapiens,E-GEOD-42872,'vemurafenib' vs 'DMSO',-1.9,1.38635803364435e-7,
ENSG00000185483,ROR1,ROR1,homo sapiens,E-GEOD-22529,'chronic lymphosyte leukemia' vs 'normal' on 'Affymetrix HG-U133B array',1.9,0.00000112998912391138,
ENSG00000185483,ROR1,ROR1,homo sapiens,E-GEOD-10696,'gefitinib resistant' vs 'gefitinib sensitive',1.9,0.00000656446896492196,
ENSG00000185483,ROR1,ROR1,homo sapiens,E-GEOD-35493,'atypical teratoid / rhabdoid tumor' vs 'normal',1.9,0.00899540332418474,
ENSG00000185483,ROR1,ROR1,homo sapiens,E-MTAB-5175,'doxycycline-mediated expression of dominant-negative FOS' vs 'wild type',-1.8,1.2021890279014e-27,
