Gene	Species	Experiment accession	Comparison	log_2 fold change	Adjusted p-value	t-statistic
ENSG00000108375	homo sapiens	E-GEOD-21422	'invasive ductal carcinoma' vs 'normal'	2.1	0.0236883215099955	
ENSG00000108375	homo sapiens	E-MTAB-7591	'SFRP2 overexpression' vs 'wild type' in 'U-2987'	-2	4.76022372220108e-49	
ENSG00000108375	homo sapiens	E-GEOD-48812	'DMSO; prostate carcinoma' at '24 hour' vs 'DMSO; normal' at '24 hour'	-2	8.67400105772757e-12	
ENSG00000108375	homo sapiens	E-GEOD-46493	'doxorubicin; 0.6 microgram per milliliter' vs 'none'	-2	1.05621675191074e-7	
ENSG00000108375	homo sapiens	E-MTAB-8444	'Crispr-mediated SOX4 knockout' vs 'wild type genotype' in 'none' at '0 hour'	2	0.000161908872656824	
ENSG00000108375	homo sapiens	E-MTAB-7061	'EIF2AK3 homozygous knockout' vs 'wild type'	-2	0.000471749020660606	
ENSG00000108375	homo sapiens	E-GEOD-22866	'glioblastoma' vs 'control'	-1.9	6.34112312609708e-9	
ENSG00000108375	homo sapiens	E-MTAB-7681	'Candida albicans' vs 'none' at '24 hour'	-1.9	0.00000285676924609273	
ENSG00000108375	homo sapiens	E-GEOD-63252	'wild type; BREFELDIN A' vs 'wild type; control'	-1.9	0.000403485008670776	
ENSG00000108375	homo sapiens	E-GEOD-29137	'Numb4 overexpression' vs 'control' in 'MCF7'	-1.8	0.00000148714118845211	
ENSG00000108375	homo sapiens	E-GEOD-55048	'tumor' vs 'paratumoral tissue'	1.8	0.00000544959703489732	
ENSG00000108375	homo sapiens	E-GEOD-24592	'siERK1; estradiol' at '4 hour' vs 'siERK1; ethanol' at '4 hour'	-1.8	0.00000574445957879522	
ENSG00000108375	homo sapiens	E-MTAB-5162	'RNH1 knockout' vs 'wild type genotype'	-1.8	0.00115161437610912	
ENSG00000108375	homo sapiens	E-GEOD-52194	'triple-negative breast cancer; breast carcinoma' vs 'normal'	-1.8	0.0144737734770234	
ENSG00000108375	homo sapiens	E-GEOD-55092	'neoplasm' vs 'normal tissue adjacent to neoplasm' in 'liver'	1.7	4.64413222745691e-23	
ENSG00000108375	homo sapiens	E-GEOD-48433	'NCI-H460; large cell lung carcinoma; P04' vs 'NCI-H460; large cell lung carcinoma; P0'	1.7	0.000013310349419434	
ENSG00000108375	homo sapiens	E-MEXP-3911	'delta ex2/3p73 overexpression' vs 'empty vector'	1.7	0.0000178679426557717	
ENSG00000108375	homo sapiens	E-GEOD-59612	'contrast-enhancing core; glioma' vs 'normal'	-1.7	0.000706971141556452	
ENSG00000108375	homo sapiens	E-GEOD-56517	'shHOXA9; GBML18; ' vs 'control; GBML18; '	-1.7	0.00373822239590173	
ENSG00000108375	homo sapiens	E-MTAB-7061	'UCHL1 homozygous knockout' vs 'wild type'	-1.7	0.0158847691676005	
ENSG00000108375	homo sapiens	E-MTAB-6403	'neoplasm' vs 'normal tissue adjacent to tumour'	-1.7	0.0397891980095513	
ENSG00000108375	homo sapiens	E-GEOD-63452	'12 hour' vs '0 hour' in 'MCF-10A-H1047R'	-1.6	1.30807256049784e-8	
ENSG00000108375	homo sapiens	E-GEOD-68086	'non-small cell lung carcinoma' vs 'normal'	-1.6	2.1187362271934e-7	
ENSG00000108375	homo sapiens	E-GEOD-49644	'TGFb-induced epithelial-mesenchymal transition' vs 'normal' in 'NCI-H358'	-1.6	0.00000176115447261545	
ENSG00000108375	homo sapiens	E-GEOD-6400	'5 microgram per milliliter dose of actinomycin D' vs '5 percent dose of mannitol'	-1.6	0.0000642300382807212	
ENSG00000108375	homo sapiens	E-GEOD-68086	'hepatobiliary carcinoma' vs 'normal'	-1.6	0.000169432609050776	
ENSG00000108375	homo sapiens	E-GEOD-56517	'U87MG; MSCV-HOXA9' vs 'U87MG; control'	1.6	0.00061971938520376	
ENSG00000108375	homo sapiens	E-GEOD-48433	'UACC-62; melanoma; P04' vs 'UACC-62; melanoma; P0'	-1.6	0.0243382277580617	
ENSG00000108375	homo sapiens	E-GEOD-58326	'siZNF217' vs 'control'	1.5	5.12325851498611e-28	
ENSG00000108375	homo sapiens	E-MTAB-8480	'MEF2D-HNFNPUL1 knockdown by siRNA' vs 'luciferase siRNA'	-1.5	2.09447378188615e-12	
ENSG00000108375	homo sapiens	E-GEOD-68086	'breast carcinoma' vs 'normal'	-1.5	0.00000171864565072111	
ENSG00000108375	homo sapiens	E-GEOD-49644	'TGFb-induced epithelial-mesenchymal transition' vs 'normal' in 'HCC827'	-1.5	0.000131567833660667	
