Gene,Protein,Gene Name(s),Species,Experiment accession,Comparison,log_2 fold change,Adjusted p-value,t-statistic
ENSG00000177283,FZD8,FZD8,homo sapiens,E-GEOD-48812,'DMSO; prostate carcinoma' at '24 hour' vs 'DMSO; normal' at '24 hour',4.5,0.00154353333095311,
ENSG00000177283,FZD8,FZD8,homo sapiens,E-GEOD-48812,'sulforaphane; prostate carcinoma' at '6 hour' vs 'sulforaphane; normal' at '6 hour',3.7,0.00681585631257488,
ENSG00000177283,FZD8,FZD8,homo sapiens,E-MTAB-7518,'cisplatin; 100 micromolar' vs 'none' in 'TMEM45A knockdown by siRNA',3.6,1.85045350506618e-25,
ENSG00000177283,FZD8,FZD8,homo sapiens,E-GEOD-63816,'erythroleukemia; ZRSR2 shRNA' vs 'normal',3.5,3.74884792343758e-13,
ENSG00000177283,FZD8,FZD8,homo sapiens,E-MTAB-7518,'cisplatin; 100 micromolar' vs 'none' in 'scrambled siRNA',3.5,7.03702096247853e-13,
ENSG00000177283,FZD8,FZD8,homo sapiens,E-GEOD-63452,'24 hour' vs '0 hour' in 'MCF-10A',3.4,3.16961660636604e-24,
ENSG00000177283,FZD8,FZD8,homo sapiens,E-GEOD-48433,'786-0; renal adenocarcinoma; P10' vs '786-0; renal adenocarcinoma; P0',3.3,0.00000147067438082046,
ENSG00000177283,FZD8,FZD8,homo sapiens,E-GEOD-48812,'sulforaphane; prostate carcinoma' at '24 hour' vs 'sulforaphane; normal' at '24 hour',3.3,0.025315229220121,
ENSG00000177283,FZD8,FZD8,homo sapiens,E-MTAB-2349,'heat shock' vs 'untreated',3.1,3.64240181786401e-68,
ENSG00000177283,FZD8,FZD8,homo sapiens,E-GEOD-52194,'HER2 Positive Breast Carcinoma; breast carcinoma' vs 'normal',-3.1,2.57233857962635e-12,
ENSG00000177283,FZD8,FZD8,homo sapiens,E-GEOD-48433,'NCI-H460; large cell lung carcinoma; P10' vs 'NCI-H460; large cell lung carcinoma; P0',-3,2.18144133581346e-9,
ENSG00000177283,FZD8,FZD8,homo sapiens,E-GEOD-37003,'anti-m6A' vs 'none',2.9,0.0168105876423876,
ENSG00000177283,FZD8,FZD8,homo sapiens,E-GEOD-52194,'non-triple-negative breast cancer; breast carcinoma' vs 'normal',-2.8,8.45686874108856e-13,
ENSG00000177283,FZD8,FZD8,homo sapiens,E-GEOD-49608,'7 hour' vs '0 hour' in 'MDA-LM2',-2.8,7.86001750134872e-11,
ENSG00000177283,FZD8,FZD8,homo sapiens,E-GEOD-63452,'12 hour' vs '0 hour' in 'MCF-10A',2.7,1.98809064002239e-22,
ENSG00000177283,FZD8,FZD8,homo sapiens,E-MTAB-9207,'KRAS-G13D expression' vs 'wild type genotype' in 'scrambled siRNA',-2.7,5.84693196393834e-11,
ENSG00000177283,FZD8,FZD8,homo sapiens,E-MTAB-10317,'lapatinib; 500 nanomolar' vs 'none' in 'PPARGC1A siRNA',-2.7,0.0143699262940027,
ENSG00000177283,FZD8,FZD8,homo sapiens,E-MTAB-7474,'soluble LRIG1 expression' vs 'control',-2.6,0.0000129179560794177,
