Gene	Species	Experiment accession	Comparison	log_2 fold change	Adjusted p-value	t-statistic
ENSG00000213923	homo sapiens	E-MTAB-8444	'Crispr-mediated SOX4 knockout' vs 'wild type genotype' in 'HIV-1' at '8 hour'	-1.1	1.50631340755286e-18	
ENSG00000213923	homo sapiens	E-GEOD-53757	'tumor' vs 'normal' in 'stage 2'	1.1	1.93776350844004e-8	
ENSG00000213923	homo sapiens	E-GEOD-50161	'medulloblastoma' vs 'normal'	1.1	9.72281717015129e-7	
ENSG00000213923	homo sapiens	E-GEOD-48433	'AsPC-1; pancreatic adenocarcinoma; P10' vs 'AsPC-1; pancreatic adenocarcinoma; P0'	-1.1	0.00000833514036409203	
ENSG00000213923	homo sapiens	E-MTAB-4054	'esophageal adenocarcinoma' vs 'normal'	-1.1	0.00000906707374747816	
ENSG00000213923	homo sapiens	E-MTAB-4054	'Barrett’s esophagus; low-grade dysplasia' vs 'normal'	-1.1	0.0000734706440392444	
ENSG00000213923	homo sapiens	E-GEOD-48433	'SW-620; adenocarcinoma of colon; P04' vs 'SW-620; adenocarcinoma of colon; P0'	1.1	0.000523941866595945	
ENSG00000213923	homo sapiens	E-MTAB-5243	'ZEB1 knockout' vs 'wild type'	-1.1	0.00575362665760963	
ENSG00000213923	homo sapiens	E-GEOD-11151	'chromophobe renal cell carcinoma' vs 'normal' in 'adult'	1.1	0.00604504701686689	
ENSG00000213923	homo sapiens	E-MTAB-1776	'EGR2-E356K' vs 'wild type genotype'	1.1	0.00730852309212649	
ENSG00000213923	homo sapiens	E-MTAB-6120	'adiponectin; 30 microgram per milliliter' vs 'none' in 'MDAMB231'	1	5.64009974830932e-41	
ENSG00000213923	homo sapiens	E-MTAB-8444	'Crispr-mediated SOX4 knockout' vs 'wild type genotype' in 'HIV-1' at '18 hour'	-1	8.20120373656075e-17	
ENSG00000213923	homo sapiens	E-GEOD-53757	'tumor' vs 'normal' in 'stage 1'	1	4.59117992412734e-9	
ENSG00000213923	homo sapiens	E-GEOD-53757	'tumor' vs 'normal' in 'stage 3'	1	3.57119042320097e-7	
ENSG00000213923	homo sapiens	E-GEOD-29137	'Numb4 overexpression' vs 'control' in 'MDAMB231'	-1	0.000004426783879932	
ENSG00000213923	homo sapiens	E-GEOD-48433	'HOP-92; large cell undifferentiated lung; P01' vs 'HOP-92; large cell undifferentiated lung; P0'	1	0.0000258459404625021	
ENSG00000213923	homo sapiens	E-MTAB-688	'FOXP3 expression' vs 'doxycycline-mediated repression of FOXP3' in 'control siRNA'	-1	0.0000364193138688053	
ENSG00000213923	homo sapiens	E-GEOD-48433	'HCC-2998; colon carcinoma; P04' vs 'HCC-2998; colon carcinoma; P0'	1	0.000309523270468875	
ENSG00000213923	homo sapiens	E-GEOD-11151	'clear cell renal carcinoma' vs 'normal' in 'adult'	1	0.00998983310958965	
ENSG00000213923	homo sapiens	E-GEOD-63252	'p53KO; tunicamycin' vs 'p53KO; control'	-1	0.0286441049544998	
