Gene,Protein,Gene Name(s),Species,Experiment accession,Comparison,log_2 fold change,Adjusted p-value,t-statistic
ENSG00000171056,SOX7,SOX7,homo sapiens,E-MTAB-6957,'non small cell lung carcinoma neoplasm' vs 'normal tissue adjacent to neoplasm',-1.9,8.49431515235468e-10,
ENSG00000171056,SOX7,SOX7,homo sapiens,E-GEOD-41827,'casiopeina II-gly' vs 'control',-1.9,0.0000506047646833644,
ENSG00000171056,SOX7,SOX7,homo sapiens,E-CURD-45,'neoplasm' vs 'normal tissue adjacent to neoplasm',-1.9,0.000337165299914916,
ENSG00000171056,SOX7,SOX7,homo sapiens,E-GEOD-60052,'small cell lung carcinoma' vs 'normal',-1.9,0.0115103459019018,
ENSG00000171056,SOX7,SOX7,homo sapiens,E-GEOD-54002,'breast cancer' vs 'normal',-1.8,6.16777863415854e-8,
ENSG00000171056,SOX7,SOX7,homo sapiens,E-GEOD-48433,'A549; adenocarcinoma of lung; P04' vs 'A549; adenocarcinoma of lung; P0',-1.8,0.000151309758088952,
ENSG00000171056,SOX7,SOX7,homo sapiens,E-GEOD-68086,'glioblastoma' vs 'normal',-1.8,0.00027196073654808,
ENSG00000171056,SOX7,SOX7,homo sapiens,E-GEOD-12854,'PKA RI-alpha over expression' vs 'wild type',1.8,0.000522279769744348,
ENSG00000171056,SOX7,SOX7,homo sapiens,E-GEOD-48433,'HOP-62; adenocarcinoma of lung; P04' vs 'HOP-62; adenocarcinoma of lung; P0',-1.8,0.000648804493442165,
ENSG00000171056,SOX7,SOX7,homo sapiens,E-MTAB-6087,'hypoxia' vs 'normoxia' in 'SW684',-1.8,0.0496084151983061,
ENSG00000171056,SOX7,SOX7,homo sapiens,E-MTAB-7033,'p63 knockdown by siRNA' vs 'scrambled siRNA' in 'L3.6pl',-1.7,3.12187636044551e-30,
ENSG00000171056,SOX7,SOX7,homo sapiens,E-GEOD-95132,'primary tumor' vs 'adjacent non-tumor colon' in 'colorectal cancer',-1.7,0.0000839694671865678,
ENSG00000171056,SOX7,SOX7,homo sapiens,E-GEOD-48433,'KM12; adenocarcinoma of colon; P04' vs 'KM12; adenocarcinoma of colon; P0',-1.6,0.0000037915936390266,
ENSG00000171056,SOX7,SOX7,homo sapiens,E-GEOD-22139,'DAOY M14; MYC overexpression' vs 'DAOY; wild type',1.6,0.00012566990954029,
ENSG00000171056,SOX7,SOX7,homo sapiens,E-MTAB-4054,'esophageal adenocarcinoma' vs 'normal',-1.6,0.000283389900335325,
ENSG00000171056,SOX7,SOX7,homo sapiens,E-GEOD-10591,'Tmprss6 mutant' vs 'empty vector',-1.6,0.0111344484422275,
ENSG00000171056,SOX7,SOX7,homo sapiens,E-GEOD-8977,'invasive ductal carcinoma' vs 'normal',-1.6,0.043773500923317,
ENSG00000171056,SOX7,SOX7,homo sapiens,E-MTAB-7033,'p63 knockdown by siRNA' vs 'scrambled siRNA' in 'BxPC-3',-1.5,2.9610398683787e-55,
ENSG00000171056,SOX7,SOX7,homo sapiens,E-GEOD-32526,'S2N; tumorigenic; spheres' vs 'S2; non-tumorigenic; spheres',1.5,5.41126590536201e-7,
ENSG00000171056,SOX7,SOX7,homo sapiens,E-GEOD-41326,'RNF43 siRNA' vs 'control',1.5,0.0000547778479664482,
ENSG00000171056,SOX7,SOX7,homo sapiens,E-MTAB-10304,'lapatinib; 500 nanomolar; 35 day' vs 'dimethyl sulfoxide; 1 day',-1.5,0.00577250852178668,
ENSG00000171056,SOX7,SOX7,homo sapiens,E-GEOD-10780,'breast carcinoma' vs 'normal',-1.4,2.02024579737788e-15,
ENSG00000171056,SOX7,SOX7,homo sapiens,E-MTAB-10304,'lapatinib; 500 nanomolar; 7 day' vs 'dimethyl sulfoxide; 1 day',-1.4,0.00503385390188356,
ENSG00000171056,SOX7,SOX7,homo sapiens,E-MTAB-3021,'PRPF8' vs 'control',1.4,0.00899134929713303,
ENSG00000171056,SOX7,SOX7,homo sapiens,E-GEOD-21354,'astrocytic glioma' vs 'normal',-1.4,0.0452285411344342,
ENSG00000171056,SOX7,SOX7,homo sapiens,E-GEOD-33455,'DU-145; converted to docetaxel resistant cells' vs 'DU-145; none',1.3,0.000126031975342984,
