Gene,Protein,Gene Name(s),Species,Experiment accession,Comparison,log_2 fold change,Adjusted p-value,t-statistic
ENSG00000278463,H2AC4,H2AC4 H2AC8,homo sapiens,E-GEOD-63452,'6 hour' vs '0 hour' in 'MCF-10A',-2.1,0.000286244936357561,
ENSG00000278463,H2AC4,H2AC4 H2AC8,homo sapiens,E-MTAB-3649,'Listeria monocytogenes EGD-e' vs 'none',-2,9.23206936196791e-24,
ENSG00000278463,H2AC4,H2AC4 H2AC8,homo sapiens,E-MTAB-339,'17-(allylamino)-17-demethosygeldanamycin (17-AAG); 3 micromolar' vs 'none; 0 micromolar',-2,3.52170951381934e-8,
ENSG00000278463,H2AC4,H2AC4 H2AC8,homo sapiens,E-MTAB-6235,'DDX54 siRNA 9' vs 'scrambled siRNA',-2,4.2879260775336e-8,
ENSG00000278463,H2AC4,H2AC4 H2AC8,homo sapiens,E-GEOD-66493,'cisplatin' at '24 hour' vs 'none' at '0 hour',-2,0.00000759663957230143,
ENSG00000278463,H2AC4,H2AC4 H2AC8,homo sapiens,E-GEOD-66493,'cisplatin' at '6 hour' vs 'none' at '0 hour',-2,0.0000203036179498422,
ENSG00000278463,H2AC4,H2AC4 H2AC8,homo sapiens,E-GEOD-42781,'delta-her2 overexpression' vs 'control',2,0.0000467817506957702,
ENSG00000278463,H2AC4,H2AC4 H2AC8,homo sapiens,E-MTAB-3082,'hypoxia' vs 'normoxia' in 'NCH421k' at '0.5 day',-1.9,0.00000992787103726061,
ENSG00000278463,H2AC4,H2AC4 H2AC8,homo sapiens,E-GEOD-41678,'MDAMB231; cocultured with fibroblast CCD1112Sk' vs 'MDAMB231; normal',1.8,7.09126417293479e-7,
ENSG00000278463,H2AC4,H2AC4 H2AC8,homo sapiens,E-GEOD-42872,'vemurafenib' vs 'DMSO',-1.7,1.28223300808033e-7,
ENSG00000278463,H2AC4,H2AC4 H2AC8,homo sapiens,E-MTAB-7808,'doxycycline' vs 'none' in 'Caki1',-1.6,4.67080095802762e-29,
ENSG00000278463,H2AC4,H2AC4 H2AC8,homo sapiens,E-GEOD-38959,'breast cancer; breast' vs 'normal; breast',1.6,4.59747126266126e-9,
ENSG00000278463,H2AC4,H2AC4 H2AC8,homo sapiens,E-GEOD-48937,'transfected with KDELR1 for 72 hours' vs 'untreated',1.6,0.0000070501492501684,
ENSG00000278463,H2AC4,H2AC4 H2AC8,homo sapiens,E-MTAB-3082,'hypoxia' vs 'normoxia' in 'NCH421k' at '7 day',-1.6,0.000894514257525129,
ENSG00000278463,H2AC4,H2AC4 H2AC8,homo sapiens,E-MTAB-8887,"'neoplasm; grade 2, focal grade 3' vs 'normal tissue adjacent to neoplasm' in 'hepatocellular carcinoma'",1.6,0.00354824412926897,
ENSG00000278463,H2AC4,H2AC4 H2AC8,homo sapiens,E-GEOD-49608,'4 hour' vs '0 hour' in 'MDA-LM2',-1.5,3.85243142331625e-216,
