Gene	Species	Experiment accession	Comparison	log_2 fold change	Adjusted p-value	t-statistic
ENSG00000107404	homo sapiens	E-MTAB-8480	'MEF2D-HNFNPUL1 knockdown by siRNA' vs 'luciferase siRNA'	1	6.09030445014232e-44	
ENSG00000107404	homo sapiens	E-GEOD-59612	'contrast-enhancing core; glioma' vs 'normal'	-1	2.83933267570564e-28	
ENSG00000107404	homo sapiens	E-MTAB-7591	'SOX2 overexpression' vs 'wild type' in 'U-2982'	-1	3.91801498987283e-12	
ENSG00000107404	homo sapiens	E-MTAB-7884	'DGAT2 homozygous knockout' vs 'wild type genotype' in 'fatty acids (800 micromolar) and fructose (5.5 millimolar)'	-1	8.38426324930562e-10	
ENSG00000107404	homo sapiens	E-MEXP-3025	'PE e/10 adherent culture' vs 'sphere culture'	1	0.000208065272441611	
ENSG00000107404	homo sapiens	E-GEOD-35493	'atypical teratoid / rhabdoid tumor' vs 'normal'	-1	0.00021994572374406	
ENSG00000107404	homo sapiens	E-GEOD-11941	'100 microgram per milliliter trovafloxacin' vs 'none'	1	0.00065932433343423	
ENSG00000107404	homo sapiens	E-GEOD-35493	'glioblastoma' vs 'normal'	-1	0.00279959156560508	
ENSG00000107404	homo sapiens	E-GEOD-64912	'papillary thyroid carcinoma' vs 'normal'	1	0.00929970698881342	
ENSG00000107404	homo sapiens	E-GEOD-63252	'p53KO; tunicamycin' vs 'p53KO; control'	-1	0.0139192996242331	
ENSG00000107404	homo sapiens	E-MTAB-7886	'SPRY1 knockdown by siRNA' vs 'none'	1	0.024792759352416	
ENSG00000107404	homo sapiens	E-GEOD-68086	'glioblastoma' vs 'normal'	-1	0.0368285878614248	
ENSG00000107404	homo sapiens	E-GEOD-68230	'SCH772984; 10 micromolar' vs 'control'	-1	0.0455974998333316	
