"Max Super Speciality Hospital, Dwarka","Max Super Speciality Hospital, Dwarka (A Unit of Muthoot Hospitals Pvt Ltd), Plot No. 1, Sector 10, Dwarka, New Delhi - 10075"
"Max Super Speciality Hospital, Patparganj","108A, I.P. Extension, Patparganj, Delhi 110092"
"Max Super Speciality Hospital, Saket","Saket, 1 Press Enclave Road, New Delhi 110 022"
Rajiv Gandhi Cancer Institute & Research Centre,"Sector 5, Rohini, New Delhi 110 085"
Sachin Sarcoma Society,"H.No. 567, Mukhmelpur, North West Delhi - 110036"
"Vardhman Mahavir Medical College & Safdarjung Hospital, New Delhi",New Delhi 1100029
Goa,
Goa Medical College,"Bambolim, Goa.403202 Tiswadi"
"Manipal Hospital, Goa","Dr. E. Borges Road, Donapaula, Goa 403004"
Gujarat,
Aaruni Hospital,"Next to Holy Saint School, Kalawad Road, Rajkot 360001"
"Apollo Hospitals, Ahmedabad","Bhat GIDC, Dist Gandhinagar, Gujarat 382428"
Awishkar Health1 Multispeciality Hospital,"Nijanandnagar, Nr. Motipura Railway Over Bridge, Himmatnagar, Sabarkantha, Gujarat - 383001"
"Dhiraj hospital, Constituent of S.B.K.S Medical Institute & Research Centre","Sumandeep Vidhyapeeth, Vadodara, Gujarat 391760"
Gokul Hospital,"12/14, Manhar Plot, Vidhyanagar Main Road, Rajkot, 630001"
Gujarat Cancer & Research Institute,"Civil Hospital Campus, Asarwa, Ahmedabad 380 016, Gujarat"
"HCG Cancer Centre, Ahmedabad","HCG Cancer Centre, Sola -Science City, Rad Near Sola Bridge, S G Highway, Ahmedabad, Gujarat 380060"
"HCG Cancer Centre, Vadodara","Sun-Pharma Atladra Road, Pramukh Swami nagar, Tandalja, Vadodara, Gujarat 390012"
Himalaya Cancer Hospital and Research Centre,"4, Vinod Baug, B/H Railway station, Jetalpur Brigde, Alkapuri, Vadodara, Gujarat, 390007"
K K Patel Super Speciality Hospital,"Near Kutch University, Mundra Road, Bhuj, Kachchh, Gujarat - 370001"
