Uniprot ID,Protein Name,URL,,,,,,,,,,,,,,,,,,
Q9Y3A6,TMED5,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22TMED5%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
Q9H237,PORCN,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22PORCN%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
Q08117,TLE5,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22TLE5%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
Q04725,TLE2,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22TLE2%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
Q04724,TLE1,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22TLE1%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
Q04726,TLE3,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22TLE3%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
Q04727,TLE4,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22TLE4%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
P56545,CTBP2,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22CTBP2%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
Q13363,CTBP1,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22CTBP1%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
Q9HCS4,TCF7L1,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22TCF7L1%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
Q9NQB0,TCF7L2,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22TCF7L2%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
P36402,TCF7,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22TCF7%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
Q9UJU2,LEF1,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22LEF1%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
Q13547,HDAC1,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22HDAC1%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
P25054,APC,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22APC%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
Q9UGI0,ZRANB1,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22ZRANB1%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
P62979,RPS27A,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22RPS27A%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
P0CG48,UBC,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22UBC%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
P0CG47,UBB,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22UBB%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
P62987,UBA52,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22UBA52%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
Q5JTC6,AMER1,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22AMER1%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
O15169,AXIN1,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22AXIN1%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
P49841,GSK3B,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22GSK3B%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
P30153,PPP2R1A,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22PPP2R1A%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
P30154,PPP2R1B,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22PPP2R1B%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
Q15173,PPP2R5B,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22PPP2R5B%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
Q13362,PPP2R5C,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22PPP2R5C%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
Q15172,PPP2R5A,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22PPP2R5A%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
Q14738,PPP2R5D,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22PPP2R5D%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
Q16537,PPP2R5E,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22PPP2R5E%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
P67775,PPP2CA,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22PPP2CA%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
P62714,PPP2CB,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22PPP2CB%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
P48729,CSNK1A1,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22CSNK1A1%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
P35222,CTNNB1,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22CTNNB1%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
P63208,SKP1,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22SKP1%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
Q13616,CUL1,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22CUL1%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
P62877,RBX1,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22RBX1%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
Q9Y297,BTRC,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22BTRC%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
P48556,PSMD8,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22PSMD8%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
Q15008,PSMD6,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22PSMD6%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
P60896,SEM1,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22SEM1%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
O43242,PSMD3,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22PSMD3%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
O00231,PSMD11,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22PSMD11%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
O00487,PSMD14,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22PSMD14%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
P51665,PSMD7,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22PSMD7%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
O00232,PSMD12,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22PSMD12%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
Q9UNM6,PSMD13,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22PSMD13%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
Q99460,PSMD1,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22PSMD1%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
Q16186,ADRM1,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22ADRM1%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
P17980,PSMC3,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22PSMC3%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
P62333,PSMC6,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22PSMC6%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
P43686,PSMC4,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22PSMC4%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
P62195,PSMC5,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22PSMC5%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
P62191,PSMC1,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22PSMC1%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
P35998,PSMC2,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22PSMC2%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
Q13200,PSMD2,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22PSMD2%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
O14818,PSMA7,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22PSMA7%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
