PMID,Title,Authors,Journal,Year,DOI,PMC_ID,Free_PMC,PDF_Downloaded,PDF_Filename
20924650,Functional genomics of tumor suppressor miR-196b in T-cell acute lymphoblastic leukemia.,Bhatia S; Kaul D; Varma N,Molecular and cellular biochemistry,2011,10.1007/s11010-010-0597-0,,No,No,
20829044,Mitochondria-mediated apoptosis in patients with adenocarcinoma of the breast: Correlation with histological grade and menopausal status.,Vinothini G; Murugan RS; Nagini S,"Breast (Edinburgh, Scotland)",2011,10.1016/j.breast.2010.08.002,,No,No,
20599480,The stem cell code in oral epithelial tumorigenesis: 'the cancer stem cell shift hypothesis'.,Richard V; Pillai MR,Biochimica et biophysica acta,2010,10.1016/j.bbcan.2010.06.004,,No,No,
20534901,"The differential expression of aqueous soluble proteins in breast normal and cancerous tissues in relation to ethnicity of the patients; Chinese, Malay and Indian.",Liang S; Singh M; Gam LH,Disease markers,2010,10.3233/DMA-2010-0694,PMC3833415,Yes,Yes,PMID_20534901_PMC3833415.pdf
20530493,Identification of potential serum biomarkers of glioblastoma: serum osteopontin levels correlate with poor prognosis.,Sreekanthreddy P; Srinivasan H; Kumar DM; Nijaguna MB; Sridevi S; Vrinda M; Arivazhagan A; Balasubramaniam A; Hegde AS; Chandramouli BA; Santosh V; Rao MR; Kondaiah P; Somasundaram K,"Cancer epidemiology, biomarkers & prevention : a publication of the American Association for Cancer Research, cosponsored by the American Society of Preventive Oncology",2010,10.1158/1055-9965.EPI-09-1077,,No,No,
20415542,Deregulation of STAT-5 isoforms in the development of HPV-mediated cervical carcinogenesis.,Sobti RC; Singh N; Hussain S; Suri V; Bharadwaj M; Das BC,Journal of receptor and signal transduction research,2010,10.3109/10799891003786218,,No,No,
20226080,Development of the human cancer microRNA network.,Bandyopadhyay S; Mitra R; Maulik U; Zhang MQ,Silence,2010,10.1186/1758-907X-1-6,PMC2835996,Yes,Yes,PMID_20226080_PMC2835996.pdf
24179381,Identification of gene expression signature in estrogen receptor positive breast carcinoma.,Thakkar AD; Raj H; Chakrabarti D; Ravishankar; Saravanan N; Muthuvelan B; Balakrishnan A; Padigaru M,Biomarkers in cancer,2010,10.4137/BIC.S3793,PMC3783308,Yes,Yes,PMID_24179381_PMC3783308.pdf
19653276,Transactivation and expression patterns of Jun and Fos/AP-1 super-family proteins in human oral cancer.,Mishra A; Bharti AC; Saluja D; Das BC,International journal of cancer,2010,10.1002/ijc.24807,,No,No,
19496104,Differential alterations in metabolic pattern of the spliceosomal uridylic acid-rich small nuclear RNAs (UsnRNAs) during malignant transformation of 20-methylcholanthrene-induced mouse CNCI-PM-20 embryonic fibroblasts.,Mukherjee S; Manna S; Mukherjee P; Panda CK,Molecular carcinogenesis,2009,10.1002/mc.20556,,No,No,
19360286,Molecular profiling to identify molecular mechanism in esophageal cancer with familial clustering.,Chattopadhyay I; Phukan R; Singh A; Vasudevan M; Purkayastha J; Hewitt S; Kataki A; Mahanta J; Kapur S; Saxena S,Oncology reports,2009,,PMC7556320,Yes,Yes,PMID_19360286_PMC7556320.pdf
18777199,Differential expression of potassium ion channels in human renal cell carcinoma.,Wadhwa S; Wadhwa P; Dinda AK; Gupta NP,International urology and nephrology,2009,10.1007/s11255-008-9459-z,,No,No,
18715028,A quantitative proteomic approach for identification of potential biomarkers in hepatocellular carcinoma.,Chaerkady R; Harsha HC; Nalli A; Gucek M; Vivekanandan P; Akhtar J; Cole RN; Simmers J; Schulick RD; Singh S; Torbenson M; Pandey A; Thuluvath PJ,Journal of proteome research,2008,10.1021/pr800197z,PMC3769105,Yes,Yes,PMID_18715028_PMC3769105.pdf
18538015,Involvement of TSC genes and differential expression of other members of the mTOR signaling pathway in oral squamous cell carcinoma.,Chakraborty S; Mohiyuddin SM; Gopinath KS; Kumar A,BMC cancer,2008,10.1186/1471-2407-8-163,PMC2430211,Yes,Yes,PMID_18538015_PMC2430211.pdf
18302964,Molecular profiling of genes in squamous cell lung carcinoma in Asian Indians.,Sen S; Ateeq B; Sharma H; Datta P; Gupta SD; Bal S; Kumar A; Singh N,Life sciences,2008,10.1016/j.lfs.2008.01.009,,No,No,
18241334,"Flow-cytometric monitoring of disease-associated expression of 9-O-acetylated sialoglycoproteins in combination with known CD antigens, as an index for MRD in children with acute lymphoblastic leukaemia: a two-year longitudinal follow-up study.",Chowdhury S; Bandyopadhyay S; Mandal C; Chandra S; Mandal C,BMC cancer,2008,10.1186/1471-2407-8-40,PMC2268943,Yes,Yes,PMID_18241334_PMC2268943.pdf
17764575,Over-expression of 14-3-3zeta is an early event in oral cancer.,Matta A; Bahadur S; Duggal R; Gupta SD; Ralhan R,BMC cancer,2007,,PMC2082039,Yes,Yes,PMID_17764575_PMC2082039.pdf
21136759,Quantitative proteomics for identification of cancer biomarkers.,Chaerkady R; Pandey A,Proteomics. Clinical applications,2007,10.1002/prca.200700284,,No,No,
17635577,Identification of differentially expressed genes in tobacco chewing-mediated oral cancer by differential display-polymerase chain reaction.,Nagpal JK; Das BR,European journal of clinical investigation,2007,,,No,No,
17565690,Differential expression and role of p21cip/waf1 and p27kip1 in TNF-alpha-induced inhibition of proliferation in human glioma cells.,Kumar PS; Shiras A; Das G; Jagtap JC; Prasad V; Shastry P,Molecular cancer,2007,,PMC1904457,Yes,Yes,PMID_17565690_PMC1904457.pdf
17068819,Discovery of deregulation of zinc homeostasis and its associated genes in esophageal squamous cell carcinoma using cDNA microarray.,Kumar A; Chatopadhyay T; Raziuddin M; Ralhan R,International journal of cancer,2007,,,No,No,
