Gene	Species	Experiment accession	Comparison	log_2 fold change	Adjusted p-value	t-statistic
ENSG00000180573	homo sapiens	E-MTAB-5917	'phorbol 13-acetate 12-myristate; 100 nanomolar; lipopolysaccharide; 1 day' vs 'none; none; 0 day'	2.6	6.94170811623551e-7	
ENSG00000180573	homo sapiens	E-GEOD-62673	'deprived of Methionine' vs 'control media' in 'MCF7' at '24 hour'	2.6	0.000160018029782449	
ENSG00000180573	homo sapiens	E-GEOD-52194	'non-triple-negative breast cancer; breast carcinoma' vs 'normal'	2.5	1.65530737807327e-7	
ENSG00000180573	homo sapiens	E-MTAB-5917	'phorbol 13-acetate 12-myristate; 100 nanomolar; interferon gamma; 1 day' vs 'none; 3 day' in 'none; none; 0 day'	2.5	3.05830268243038e-7	
ENSG00000180573	homo sapiens	E-GEOD-28049	'shco4 shRNA targeting Coco' vs 'control'	2.5	0.00000525863329462355	
ENSG00000180573	homo sapiens	E-MTAB-7169	'lipid; 10 volume percent' vs 'control'	-2.5	0.000012328710490687	
ENSG00000180573	homo sapiens	E-GEOD-6907	'10 micromolar 2,3-dimethoxy-1,4-naphthoquinone' vs 'none'	-2.5	0.0000895456569612168	
ENSG00000180573	homo sapiens	E-GEOD-23930	'lethal factor (anthrax toxin)' vs 'lacZ'	2.5	0.000151709855164141	
ENSG00000180573	homo sapiens	E-GEOD-52194	'triple-negative breast cancer; breast carcinoma' vs 'normal'	2.4	0.000019568139190942	
ENSG00000180573	homo sapiens	E-GEOD-49608	'7 hour' vs '0 hour' in 'MDA-MB-231'	-2.3	1.5512901319565e-217	
ENSG00000180573	homo sapiens	E-MTAB-10304	'lapatinib; 500 nanomolar; 1 day' vs 'dimethyl sulfoxide; 1 day'	2.3	4.57645299277997e-78	
ENSG00000180573	homo sapiens	E-GEOD-7307	'CXCL12, 75 nanomolar; 6 hour' vs 'none; 6 hour' in 'MDAMB231; adenocarcinoma; mammary gland'	2.3	2.59737857020098e-7	
ENSG00000180573	homo sapiens	E-GEOD-26262	'Pin1 knockout' vs 'control'	2.3	0.0000359561284751989	
ENSG00000180573	homo sapiens	E-GEOD-6691	'multiple myeloma' vs 'normal' in 'plasma cells'	2.3	0.00477662368013269	
ENSG00000180573	homo sapiens	E-GEOD-49608	'7 hour' vs '0 hour' in 'MDA-LM2'	-2.2	0	
ENSG00000180573	homo sapiens	E-MTAB-5917	'phorbol 13-acetate 12-myristate; 100 nanomolar' at '3 day' vs 'none' at '0 day' in 'none'	2.2	4.72046534634125e-7	
ENSG00000180573	homo sapiens	E-GEOD-12854	'PKA RII-beta over expression' vs 'wild type'	2.2	0.00000949464727787792	
ENSG00000180573	homo sapiens	E-GEOD-36076	'pancreatic carcinoma' vs 'normal'	2.2	0.000132121935923524	
ENSG00000180573	homo sapiens	E-GEOD-49515	'pancreatic cancer' vs 'normal'	2.2	0.000132121935923526	
ENSG00000180573	homo sapiens	E-GEOD-22139	'DAOY M14; MYC overexpression' vs 'DAOY; wild type'	-2.2	0.000159355025989635	
ENSG00000180573	homo sapiens	E-GEOD-21422	'invasive ductal carcinoma' vs 'normal'	2.2	0.00204027708741595	
ENSG00000180573	homo sapiens	E-MTAB-9206	'ELP3 shRNA' vs 'scrambled shRNA'	2.1	1.80015491836342e-37	
ENSG00000180573	homo sapiens	E-MTAB-5537	'estrogen receptor alpha shRNA' vs 'scrambled shRNA'	2.1	2.72180521502248e-32	
ENSG00000180573	homo sapiens	E-MTAB-7681	'Candida albicans' vs 'none' at '24 hour'	-2.1	4.94399023528391e-7	
ENSG00000180573	homo sapiens	E-GEOD-10879	'MCF-7 clone 5C' vs 'MCF-7'	2.1	5.38176062891733e-7	
ENSG00000180573	homo sapiens	E-GEOD-22139	'DAOY M14; MYC overexpression' vs 'DAOY; vector control'	-2.1	0.0000154728640026714	
ENSG00000180573	homo sapiens	E-MTAB-9712	'RRx-1; 20 micromolar' vs 'none'	2	8.4019681316093e-33	
ENSG00000180573	homo sapiens	E-MTAB-6485	'neratinib; 250 nanomolar' vs 'none'	2	4.02435748125394e-27	
ENSG00000180573	homo sapiens	E-GEOD-21293	'invasive' vs 'non-invasive'	-2	6.36398340726251e-17	
ENSG00000180573	homo sapiens	E-GEOD-10289	'SDHB siRNA' vs 'control'	-2	3.2232111493478e-7	
ENSG00000180573	homo sapiens	E-GEOD-45757	'Panc-2.03; CI-1040; 2 millimolar' vs 'Panc-2.03; vehicle; '	2	0.00000124597833281806	
ENSG00000180573	homo sapiens	E-GEOD-11336	'dexamethasone; 100 nanomolar' vs 'ethanol' at '24 hour'	2	0.0000026763033893997	
ENSG00000180573	homo sapiens	E-GEOD-33267	'SARS coronavirus Urbani ΔORF6 mutant' vs 'mock' at '54 hour'	2	0.00000437114610787615	
ENSG00000180573	homo sapiens	E-GEOD-33267	'SARS coronavirus Urbani ΔORF6 mutant' vs 'mock' at '48 hour'	2	0.00000973370737550228	
ENSG00000180573	homo sapiens	E-MTAB-7453	'PLX4720; 1 micromolar' vs 'none'	2	0.0000866628692549801	
ENSG00000180573	homo sapiens	E-GEOD-23930	'mkk2CR' vs 'lethal factor (anthrax toxin)'	-2	0.000600436998386288	
ENSG00000180573	homo sapiens	E-GEOD-50803	'ALK inhibitor CEP-14083' vs 'control'	2	0.0127104760955806	
ENSG00000180573	homo sapiens	E-GEOD-55123	'azacytidine' vs 'untreated'	-1.9	1.11499355830008e-20	
ENSG00000180573	homo sapiens	E-MEXP-1857	'ASCL1-3 siRNA knockdown' vs 'control'	1.9	5.15179897532345e-9	
ENSG00000180573	homo sapiens	E-GEOD-52707	'SKR6CA cells with constitutively active NF-kappaB relA/p65' vs 'SKR6 empty vector cells'	-1.9	1.20590006963734e-7	
ENSG00000180573	homo sapiens	E-GEOD-49644	'TGFb-induced epithelial-mesenchymal transition' vs 'normal' in 'NCI-H358'	1.9	1.93702570539022e-7	
ENSG00000180573	homo sapiens	E-GEOD-28413	'etoposide-resistant' vs 'etoposide-sensitive'	-1.9	4.30549557839346e-7	
ENSG00000180573	homo sapiens	E-MTAB-5102	'154; 0.4 micromolar' vs 'DMSO'	1.9	4.48409492349333e-7	
ENSG00000180573	homo sapiens	E-MTAB-5917	'phorbol 13-acetate 12-myristate; 100 nanomolar; interleukin-4; 2 day' vs 'none; 3 day' in 'none; none; 0 day'	1.9	0.00000126976666046774	
ENSG00000180573	homo sapiens	E-GEOD-45757	'Capan-2; CI-1040; 2 millimolar' vs 'Capan-2; vehicle; '	1.9	0.000016307544165221	
ENSG00000180573	homo sapiens	E-GEOD-66354	'supratentorial ependymoma' vs 'normal'	-1.9	0.0000396250877546411	
ENSG00000180573	homo sapiens	E-GEOD-45757	'Panc-10.05; CI-1040; 2 millimolar' vs 'Panc-10.05; vehicle; '	1.9	0.000180591797216296	
ENSG00000180573	homo sapiens	E-MEXP-1509	'shZBTB4' vs 'scrambled control'	1.9	0.0051328502247463	
ENSG00000180573	homo sapiens	E-GEOD-21422	'ductal carcinoma in situ' vs 'normal'	1.9	0.00618836498710615	
ENSG00000180573	homo sapiens	E-GEOD-56517	'shHOXA9; U251; ' vs 'control; U251; '	1.9	0.00636318922993995	
ENSG00000180573	homo sapiens	E-GEOD-63252	'p53KO; tunicamycin' vs 'p53KO; control'	1.9	0.0114021014987418	
