Gene	Species	Experiment accession	Comparison	log_2 fold change	Adjusted p-value	t-statistic
ENSG00000167414	homo sapiens	E-MTAB-7613	'human cytomegalovirus (Towne strain)' vs 'none'	-4.4	1.29565588008834e-9	
ENSG00000167414	homo sapiens	E-MTAB-5678	'squamous cell carcinoma' vs 'normal'	2.9	0.0367271397059737	
ENSG00000167414	homo sapiens	E-GEOD-21668	'early mesodermal progenitors' vs 'undifferentiated cells'	2.5	0.00000111189443470263	
ENSG00000167414	homo sapiens	E-MTAB-9767	"after autologous stem cell transplantation" vs "before autologous stem cell transplantation"	-2.3	0.0171062227533163	
ENSG00000167414	homo sapiens	E-GEOD-12734	'high ZAP70 mRNA expression' vs 'low ZAP70 mRNA expression'	-2.1	0.0215150611182555	
ENSG00000167414	homo sapiens	E-GEOD-59612	'contrast-enhancing core; glioma' vs 'normal'	-1.8	0.00000323233752810424	
ENSG00000167414	homo sapiens	E-MTAB-6957	'non small cell lung carcinoma neoplasm' vs 'normal tissue adjacent to neoplasm'	1.7	0.000125985303104915	
ENSG00000167414	homo sapiens	E-GEOD-35493	'primitive neuroectodermal tumor' vs 'normal'	1.4	0.0368718921513322	
ENSG00000167414	homo sapiens	E-GEOD-68086	'hepatobiliary carcinoma' vs 'normal'	1.3	0.0000760571403691699	
ENSG00000167414	homo sapiens	E-GEOD-68086	'pancreatic adenocarcinoma' vs 'normal'	1.1	5.77942005944885e-7	
ENSG00000167414	homo sapiens	E-GEOD-68086	'glioblastoma' vs 'normal'	1.1	0.00000631412629363382	
ENSG00000167414	homo sapiens	E-MTAB-5102	'154; 1 micromolar' vs 'DMSO'	1	5.34885088408759e-7	
ENSG00000167414	homo sapiens	E-MEXP-3628	'osteosarcoma' vs 'normal'	-1	0.000252293857658068	
ENSG00000167414	homo sapiens	E-GEOD-36076	'pancreatic carcinoma' vs 'normal'	1	0.00204610911836762	
ENSG00000167414	homo sapiens	E-GEOD-49515	'pancreatic cancer' vs 'normal'	1	0.00204610911836762	
ENSG00000167414	homo sapiens	E-GEOD-6400	'5 microgram per milliliter dose of actinomycin D' vs '5 percent dose of mannitol'	1	0.0154129078887521	
ENSG00000167414	homo sapiens	E-GEOD-48258	'CDKI-73, 0.1 micromolar and fludarabine, 10 micromolar' vs 'control'	-1	0.0411411595111926	
