Gene,Protein,Gene Name(s),Species,Experiment accession,Comparison,log_2 fold change,Adjusted p-value,t-statistic
ENSG00000181274,FRAT2,FRAT2,homo sapiens,E-GEOD-21668,'early mesodermal progenitors' vs 'undifferentiated cells',-1.3,0.00000421668053097001,
ENSG00000181274,FRAT2,FRAT2,homo sapiens,E-GEOD-63816,'erythroleukemia; ZRSR2 shRNA' vs 'normal',-1.3,0.0000410211503184569,
ENSG00000181274,FRAT2,FRAT2,homo sapiens,E-MTAB-6204,'PTBP1/2 knock down by siRNA' vs 'scrambled siRNA' in 'cytoplasmic RNA',-1.3,0.000958995757901394,
ENSG00000181274,FRAT2,FRAT2,homo sapiens,E-GEOD-9350,'hypoxia' vs 'normal atmospheric oxygen pressure' in 'low metastatic cell line',-1.3,0.00200100970742544,
ENSG00000181274,FRAT2,FRAT2,homo sapiens,E-GEOD-49608,'2 hour' vs '0 hour' in 'MDA-LM2',-1.2,1.5474024501686e-8,
ENSG00000181274,FRAT2,FRAT2,homo sapiens,E-GEOD-48433,'HCT-116; colon carcinoma; P10' vs 'HCT-116; colon carcinoma; P0',-1.2,7.9675152882544e-7,
ENSG00000181274,FRAT2,FRAT2,homo sapiens,E-GEOD-48433,'NCI-H460; large cell lung carcinoma; P04' vs 'NCI-H460; large cell lung carcinoma; P0',1.2,8.68018717469204e-7,
ENSG00000181274,FRAT2,FRAT2,homo sapiens,E-GEOD-48433,'HOP-92; large cell undifferentiated lung; P04' vs 'HOP-92; large cell undifferentiated lung; P0',1.2,0.00000118206501045427,
ENSG00000181274,FRAT2,FRAT2,homo sapiens,E-MTAB-5690,'DMSO-mediated cell differentiation prior to experiment' vs 'not cultured with DMSO' in 'none',1.2,0.00000123049550240919,
ENSG00000181274,FRAT2,FRAT2,homo sapiens,E-GEOD-48433,'NCI-H460; large cell lung carcinoma; P10' vs 'NCI-H460; large cell lung carcinoma; P0',1.2,0.00000323600171054438,
ENSG00000181274,FRAT2,FRAT2,homo sapiens,E-MTAB-5102,'154; 0.4 micromolar' vs 'DMSO',1.2,0.00000415643498111558,
ENSG00000181274,FRAT2,FRAT2,homo sapiens,E-GEOD-56677,'Human betacoronavirus 2c England-Qatar/2012; 24 hour' vs 'mock; 18 hour',-1.2,0.0000197852805696491,
ENSG00000181274,FRAT2,FRAT2,homo sapiens,E-GEOD-48433,'CCRF-CEM; acute lymphoblastic (T-ALL) leukemia; P10' vs 'CCRF-CEM; acute lymphoblastic (T-ALL) leukemia; P0',1.2,0.0000304329877426303,
ENSG00000181274,FRAT2,FRAT2,homo sapiens,E-GEOD-48433,'HCT-116; colon carcinoma; P04' vs 'HCT-116; colon carcinoma; P0',-1.2,0.0000475042392680578,
ENSG00000181274,FRAT2,FRAT2,homo sapiens,E-GEOD-40595,'ovarian cancer' vs 'normal' in 'stromal cell',1.2,0.0000544361290238894,
ENSG00000181274,FRAT2,FRAT2,homo sapiens,E-GEOD-26966,'pituitary cancer' vs 'normal',1.2,0.000212958713354019,
ENSG00000181274,FRAT2,FRAT2,homo sapiens,E-GEOD-63452,'24 hour' vs '0 hour' in 'MCF-10A',1.2,0.000909174099339203,
ENSG00000181274,FRAT2,FRAT2,homo sapiens,E-GEOD-56788,'POLR2D knock-down' vs 'mock',1.1,1.34153820830719e-10,
ENSG00000181274,FRAT2,FRAT2,homo sapiens,E-MTAB-5285,'gefitinib; 24 hour' vs 'none; 2 hour',1.1,4.97877903573107e-10,
ENSG00000181274,FRAT2,FRAT2,homo sapiens,E-GEOD-48433,'HOP-92; large cell undifferentiated lung; P10' vs 'HOP-92; large cell undifferentiated lung; P0',1.1,0.00000200999348431422,
ENSG00000181274,FRAT2,FRAT2,homo sapiens,E-GEOD-7835,'deferoxamine; 1 micromolar polyamide 1' vs 'deferoxamine; none',1.1,0.00000531971671491615,
ENSG00000181274,FRAT2,FRAT2,homo sapiens,E-GEOD-62673,'deprived of Methionine' vs 'control media' in 'MCF7' at '24 hour',1.1,0.000276446912594341,
ENSG00000181274,FRAT2,FRAT2,homo sapiens,E-GEOD-30516,'BT20; 24 hour' vs 'BT20; 0 hour',1.1,0.00704097836849606,
ENSG00000181274,FRAT2,FRAT2,homo sapiens,E-GEOD-16179,'lapatinib and foretinib' vs 'DMSO' in 'acquired resistant to lapatinib',1.1,0.00913969689486893,
ENSG00000181274,FRAT2,FRAT2,homo sapiens,E-GEOD-30516,'BT20; 6 hour' vs 'BT20; 0 hour',1.1,0.0121506876137515,
ENSG00000181274,FRAT2,FRAT2,homo sapiens,E-GEOD-68086,'breast carcinoma' vs 'normal',-1.1,0.0194808102849741,
ENSG00000181274,FRAT2,FRAT2,homo sapiens,E-MTAB-8480,'MEF2D-HNFNPUL1 knockdown by siRNA' vs 'luciferase siRNA',1,4.26393787212702e-46,
ENSG00000181274,FRAT2,FRAT2,homo sapiens,E-GEOD-32526,'S2N; tumorigenic; spheres' vs 'S2; non-tumorigenic; spheres',1,4.50397906431642e-7,
ENSG00000181274,FRAT2,FRAT2,homo sapiens,E-GEOD-22139,'DAOY M2.1; MYC knockdown' vs 'DAOY; siRNA scambled',-1,0.00000134908964517008,
ENSG00000181274,FRAT2,FRAT2,homo sapiens,E-GEOD-48433,'NCI-H460; large cell lung carcinoma; P01' vs 'NCI-H460; large cell lung carcinoma; P0',1,0.00000258529886670774,
ENSG00000181274,FRAT2,FRAT2,homo sapiens,E-GEOD-23952,'TGF-beta treated 48 hr' vs 'untreated',-1,0.00000492816682456319,
ENSG00000181274,FRAT2,FRAT2,homo sapiens,E-GEOD-7835,'deferoxamine; HIF-1a siRNA' vs 'deferoxamine; none',1,0.0000100532403251184,
ENSG00000181274,FRAT2,FRAT2,homo sapiens,E-GEOD-56788,'DPPA5 knock-down' vs 'mock',-1,0.0000104455909471863,
ENSG00000181274,FRAT2,FRAT2,homo sapiens,E-MTAB-688,'FOXP3 expression' vs 'doxycycline-mediated repression of FOXP3' in 'control siRNA',-1,0.0000185495170755779,
ENSG00000181274,FRAT2,FRAT2,homo sapiens,E-MTAB-5690,'interferon gamma' vs 'none' in 'DMSO-mediated cell differentiation prior to experiment',-1,0.0000260342540193998,
ENSG00000181274,FRAT2,FRAT2,homo sapiens,E-GEOD-48433,'HCT-116; colon carcinoma; P01' vs 'HCT-116; colon carcinoma; P0',-1,0.0000546854250089079,
ENSG00000181274,FRAT2,FRAT2,homo sapiens,E-MTAB-7681,'Candida albicans' vs 'none' at '24 hour',-1,0.0000778379246331942,
ENSG00000181274,FRAT2,FRAT2,homo sapiens,E-GEOD-37136,'transduced with HOXA1' vs 'control',-1,0.000466701527069255,
ENSG00000181274,FRAT2,FRAT2,homo sapiens,E-GEOD-12854,'PKA RII-beta over expression' vs 'wild type',1,0.00098875251434998,
ENSG00000181274,FRAT2,FRAT2,homo sapiens,E-GEOD-80832,'Zaire ebolavirus lacking the VP30 gene' vs 'mock' at '18 hour',-1,0.00140714100939537,
ENSG00000181274,FRAT2,FRAT2,homo sapiens,E-MTAB-6204,'PTBP1/2 and MATR3 knock down by siRNA' vs 'scrambled siRNA' in 'cytoplasmic RNA',-1,0.00278560190495138,
ENSG00000181274,FRAT2,FRAT2,homo sapiens,E-GEOD-48258,"'CDKI-73, 0.1 micromolar and fludarabine, 10 micromolar' vs 'control'",-1,0.00729582846899918,
ENSG00000181274,FRAT2,FRAT2,homo sapiens,E-MTAB-8701,'myxosarcoma' vs 'normal',1,0.0137818563154975,
