Gene	Species	Experiment accession	Comparison	log_2 fold change	Adjusted p-value	t-statistic
ENSG00000134982	homo sapiens	E-GEOD-48433	'CCRF-CEM; acute lymphoblastic (T-ALL) leukemia; P04' vs 'CCRF-CEM; acute lymphoblastic (T-ALL) leukemia; P0'	1.1	0.00000972527311637774	
ENSG00000134982	homo sapiens	E-GEOD-29406	'media with 10 mM lactic acid (pH 6.7) in hypoxia (1% pO2)' vs 'control'	-1.1	0.0000148774514360418	
ENSG00000134982	homo sapiens	E-GEOD-48433	'K-562; chronic myelogenous (blast crisis) leukemia; P10' vs 'K-562; chronic myelogenous (blast crisis) leukemia; P0'	1.1	0.000138511424459174	
ENSG00000134982	homo sapiens	E-MTAB-3645	'Cisplatin' vs 'None' in 'A2780; Normoxia'	1.1	0.000169753493286022	
ENSG00000134982	homo sapiens	E-GEOD-22973	'phorbol 13-acetate 12-myristate; 1 micromolar' vs 'none' in 'BxPC-3'	-1.1	0.000648473158936843	
ENSG00000134982	homo sapiens	E-GEOD-68086	'hepatobiliary carcinoma' vs 'normal'	-1.1	0.00131958495658728	
ENSG00000134982	homo sapiens	E-GEOD-52194	'triple-negative breast cancer; breast carcinoma' vs 'normal'	1.1	0.00439003077645239	
ENSG00000134982	homo sapiens	E-MEXP-1372	'cooked broccoli' at '1 minute' vs 'water'	-1.1	0.0138861378692678	
ENSG00000134982	homo sapiens	E-GEOD-66354	'supratentorial ependymoma' vs 'normal'	-1.1	0.0202235209019205	
ENSG00000134982	homo sapiens	E-MTAB-6366	'HE4 overexpression' vs 'empty vector' in 'none'	-1.1	0.0359309268942497	
ENSG00000134982	homo sapiens	E-MTAB-6366	'HE4 overexpression' vs 'wild type phenotype' in 'none'	-1.1	0.0359309268942497	
ENSG00000134982	homo sapiens	E-MTAB-6957	'non small cell lung carcinoma neoplasm' vs 'normal tissue adjacent to neoplasm'	-1	2.09866303587216e-17	
ENSG00000134982	homo sapiens	E-GEOD-29598	'infected with adenovirus expressing GFP; ; messageAmp Premier methodology' vs 'infected with adenovirus expressing GFP; ; normal'	-1	8.91091074711488e-11	
ENSG00000134982	homo sapiens	E-MTAB-7518	'cisplatin; 100 micromolar' vs 'none' in 'TMEM45A knockdown by siRNA'	-1	2.63102194342556e-10	
ENSG00000134982	homo sapiens	E-TABM-282	'clear cell renal carcinoma' vs 'normal'	1	3.70832163870966e-8	
ENSG00000134982	homo sapiens	E-GEOD-56677	'Human betacoronavirus 2c England-Qatar/2012' vs 'mock' at '18 hour'	1	0.00000428562871809005	
ENSG00000134982	homo sapiens	E-GEOD-48433	'HCT-116; colon carcinoma; P10' vs 'HCT-116; colon carcinoma; P0'	1	0.00000490364425884054	
