Gene	Species	Experiment accession	Comparison	log_2 fold change	Adjusted p-value	t-statistic
ENSG00000168646	homo sapiens	E-GEOD-63252	'DICERER5/EX5; control' vs 'wild type; control'	1.9	0.0487370225886338	
ENSG00000168646	homo sapiens	E-MTAB-9207	'CFIm25 siRNA' vs 'scrambled siRNA' in 'KRAS-G13D expression'	-1.8	8.76148407067485e-40	
ENSG00000168646	homo sapiens	E-MTAB-7033	'p63 knockdown by siRNA' vs 'scrambled siRNA' in 'L3.6pl'	1.8	8.96211130215753e-14	
ENSG00000168646	homo sapiens	E-GEOD-48433	'HCT-116; colon carcinoma; P10' vs 'HCT-116; colon carcinoma; P0'	-1.8	0.00000184255906038039	
ENSG00000168646	homo sapiens	E-GEOD-44097	'siRNA beta-catenin' vs 'siRNA beta-galactosidase (control)' in 'SW480'	-1.8	0.0000357090526502097	
ENSG00000168646	homo sapiens	E-GEOD-52194	'HER2 Positive Breast Carcinoma; breast carcinoma' vs 'normal'	-1.8	0.00486215567780739	
ENSG00000168646	homo sapiens	E-GEOD-21422	'invasive ductal carcinoma' vs 'normal'	-1.8	0.0137778653045554	
ENSG00000168646	homo sapiens	E-GEOD-56788	'SAP130 knock-down' vs 'mock'	-1.7	1.19674986957838e-15	
ENSG00000168646	homo sapiens	E-GEOD-56788	'PSMD13 knock-down' vs 'mock'	-1.7	3.09630331338562e-14	
ENSG00000168646	homo sapiens	E-MEXP-3496	'Enterococcus faecalis' at '1 day' vs 'none' at '1 day'	-1.7	2.52675570637829e-7	
ENSG00000168646	homo sapiens	E-GEOD-8961	'human metapneumovirus' at '72 hour' vs 'none' at '48 hour'	-1.7	0.0000662676523743963	
ENSG00000168646	homo sapiens	E-GEOD-39121	'lentivirus harboring shRNA of both GATA6 and HOPX' vs 'control'	-1.6	5.10331534593709e-14	
ENSG00000168646	homo sapiens	E-GEOD-8961	'human metapneumovirus' at '48 hour' vs 'none' at '48 hour'	-1.6	0.000196687713958946	
ENSG00000168646	homo sapiens	E-MTAB-7033	'p63 knockdown by siRNA' vs 'scrambled siRNA' in 'BxPC-3'	1.6	0.000686660319713659	
ENSG00000168646	homo sapiens	E-GEOD-40595	'ovarian cancer' vs 'normal' in 'stromal cell'	1.6	0.000732773488995874	
ENSG00000168646	homo sapiens	E-MTAB-4363	'expression of estrogen receptor beta fused to C terminus tandem affinity purification tag' vs 'expression of estrogen receptor alpha fused to C terminus tandem affinity purification tag'	-1.6	0.00423545771057286	
ENSG00000168646	homo sapiens	E-GEOD-49608	'4 hour' vs '0 hour' in 'MDA-LM2'	-1.5	4.25688522919641e-23	
ENSG00000168646	homo sapiens	E-MTAB-8480	'MEF2D-HNFNPUL1 knockdown by siRNA' vs 'luciferase siRNA'	-1.5	2.89557573246568e-10	
ENSG00000168646	homo sapiens	E-GEOD-32526	'S2N; tumorigenic; spheres' vs 'S2; non-tumorigenic; spheres'	-1.5	0.00000205395490995611	
ENSG00000168646	homo sapiens	E-GEOD-11285	'enzastaurin' vs 'DMSO' at '10 hour'	1.5	0.00000374503954499289	
ENSG00000168646	homo sapiens	E-GEOD-48433	'HCC-2998; colon carcinoma; P01' vs 'HCC-2998; colon carcinoma; P0'	1.5	0.000007636675647584	
ENSG00000168646	homo sapiens	E-GEOD-9350	'hypoxia' vs 'normal atmospheric oxygen pressure' in 'low metastatic cell line'	-1.5	0.00389161655228474	
ENSG00000168646	homo sapiens	E-GEOD-8961	'human metapneumovirus' at '6 hour' vs 'none' at '48 hour'	-1.5	0.00629164651819316	
ENSG00000168646	homo sapiens	E-MEXP-2351	'subependymal giant cell astrocytoma' vs 'normal'	-1.5	0.010899171136696	
ENSG00000168646	homo sapiens	E-GEOD-58365	'BCL6 RD2 mutant' vs 'wild type'	1.4	5.07430375522537e-7	
ENSG00000168646	homo sapiens	E-GEOD-48433	'A549; adenocarcinoma of lung; P10' vs 'A549; adenocarcinoma of lung; P0'	-1.4	0.00000152756778540038	
ENSG00000168646	homo sapiens	E-GEOD-50760	'colorectal cancer metastatic in the liver' vs 'normal'	1.4	0.00000886524159155816	
ENSG00000168646	homo sapiens	E-GEOD-57728	'ICG-001; 10 micromolar' vs 'DMSO' at '6 hour'	-1.4	0.0000132283247437325	
