Gene	Species	Experiment accession	Comparison	log_2 fold change	Adjusted p-value	t-statistic
ENSG00000127920	homo sapiens	E-GEOD-37136	'transduced with HOXA1' vs 'control'	-2	0.00000300253096367135	
ENSG00000127920	homo sapiens	E-GEOD-48433	'UACC-62; melanoma; P10' vs 'UACC-62; melanoma; P0'	-2	0.000117288056494351	
ENSG00000127920	homo sapiens	E-GEOD-22334	'cells p16-transfected' vs 'control'	-2	0.00756608908707406	
ENSG00000127920	homo sapiens	E-GEOD-19804	'primary tumor' vs 'adjacent normal tissue'	-1.9	3.19335402879965e-19	
ENSG00000127920	homo sapiens	E-GEOD-81089	'tumor tissue' vs 'non-malignant tissue'	-1.9	2.82255064644811e-14	
ENSG00000127920	homo sapiens	E-GEOD-44077	'lung carcinoma' vs 'normal'	-1.9	1.39202928499439e-10	
ENSG00000127920	homo sapiens	E-GEOD-21422	'ductal carcinoma in situ' vs 'normal'	-1.9	0.000203484142617407	
ENSG00000127920	homo sapiens	E-MTAB-7884	'DGAT2 homozygous knockout' vs 'wild type genotype' in 'fatty acids (800 micromolar) and fructose (5.5 millimolar)'	-1.9	0.000628019219779979	
ENSG00000127920	homo sapiens	E-MTAB-7847	'Sorafenib; 5 micromolar' vs 'vehicle' in 'HuH-7'	-1.8	5.25883961164523e-10	
ENSG00000127920	homo sapiens	E-GEOD-35525	'siRNA-HMGA1' vs 'control'	-1.8	1.65510859467186e-8	
ENSG00000127920	homo sapiens	E-MTAB-4054	'esophageal adenocarcinoma' vs 'normal'	1.8	1.05718352539687e-7	
ENSG00000127920	homo sapiens	E-MTAB-4054	'Barrett’s esophagus; low-grade dysplasia' vs 'normal'	1.8	0.00000882614210045942	
ENSG00000127920	homo sapiens	E-MTAB-4898	'dominant negative EGFR' vs 'EGFR amplification'	1.8	0.000821829116434708	
ENSG00000127920	homo sapiens	E-MTAB-5231	'squamous cell carcinoma' vs 'normal tissue adjacent to squamous cell carcinoma'	-1.8	0.0314881745274676	
ENSG00000127920	homo sapiens	E-MTAB-7808	'doxycycline' vs 'none' in 'VMRC-RCW'	-1.7	3.05085683252461e-95	
ENSG00000127920	homo sapiens	E-GEOD-21293	'invasive' vs 'non-invasive'	1.7	1.34190685423543e-12	
