Type_of_Cancer_or_Disease
Acute Myeloid Leukemia (AML)
"Advanced cancer patients (e.g., Lung, HNSCC, etc.)."
Advanced Cervical Cancer
Advanced gastric cancer
advanced gastric cancer (AGC)
Advanced gastric cancer (AGC).
Advanced melanoma
Advanced non-small cell lung cancer (NSCLC)
advanced non-small-cell lung cancer (NSCLC)
advanced non-small-cell lung cancers
Advanced NSCLC
advanced prostate cancer
"advanced solid tumors (NSCLC, UM, RCC, HNSCC)"
Advanced solid tumors and non-Hodgkin’s lymphomas.
aggressive B-cell non-Hodgkin's lymphoma (NHL)
aggressive non-Hodgkin's lymphoma
Barrett's esophagus (BO)
Bladder cancer
Bladder cancer and Urothelial carcinoma (UC)
brain metastasis (BM)
Breast cancer
Breast cancer (BC)
Breast cancer (BC) and hematologic malignancies
Breast cancer patients (BC)
breast cancer with HER2 overexpression
Breast cancer.
Breast carcinoma
Breast tumor patients
Cancer-related pain.
Canine Non-Hodgkin Lymphoma (NHL)
Carcinoma and Sarcoma
Carcinoma Breast.
Cervical Cancer
Cervical cancer.
cervical carcinoma
Cervical intraepithelial neoplasia (CIN).
Cervical Lesions (Cancer screening context)
CHC-related hepatocellular carcinoma (HCC)
Chemotherapy-induced polyneuropathy (CIPN)
childhood acute lymphoblastic leukemia (ALL)
"Chronic Hepatitis B (CHB), Cirrhosis (HBC), and HCC"
Chronic Lymphocytic Leukemia (CLL)
Chronic Myeloid Leukemia (CML) in myeloid blast phase
clear cell renal cell carcinoma (ccRCC)
Clear-cell Renal Cell Carcinoma (ccRCC)
Clinically-localized prostate cancer
CNS lymphoma
colon carcinoma
Colorectal adenoma
Colorectal cancer
Colorectal cancer (CRC)
Colorectal cancer (CRC) and adenomatous polyps
Colorectal cancer (CRC).
Colorectal carcinoma (CRC)
Dedifferentiated Liposarcoma (DDLPS)
Diabetes mellitus
Early breast cancer
Early breast cancer (BC)
Early gastric cancer
Early lung cancer
Early stage endometrial endometrioid carcinoma (EEC)
Early-Stage Uveal Melanoma (UM)
Endometrial cancer (EC)
Endometrial cancer (EC) and Ovarian cancer (OC)
Endometrial Cancer (EC) versus Endometrial Polyp (EP)
Endometrial carcinoma.
Epithelial Ovarian Cancer (EOC)
Epithelial Ovarian Carcinoma
ER+ Breast Cancer
ER+ HER2? metastatic breast cancer (MBC)
Esophageal Cancer (ESCC)
esophageal cancer patients treated with radiotherapy
Esophageal squamous cell carcinoma (ESCC)
Esophagus cancer
Fatal prostate cancer
Febrile Neutropenia (FN) in acute leukemia (AML/ALL)
Gastric and esophageal cancers
Gastric cancer
Gastric cancer (GC)
Gastric cancer (GC) or gastroesophageal junction (GEJ) cancer
Gastric Carcinoma
Glioma.
Gynaecological Cancer
head and neck squamous cell carcinoma (HNSCC)
Head and neck squamous cell carcinoma (RM-HNSCC)
Hematological patients
Hematological Patients with Febrile Neutropenia.
Hepatocellular Carcinoma
Hepatocellular carcinoma (HCC)
Hepatocellular carcinoma (HCC) with non-viral aetiology.
Hepatocellular carcinoma (HCC).
Hepatocellular Carcinoma in Cirrhosis
High-grade cervical lesions (CIN3+).
High-Grade Glioma
high-grade urothelial carcinoma of the bladder (UCB)
HPV-associated Head and Neck Cancer (HPV+HNSCC)
human papillomavirus (HPV)-associated oropharyngeal cancer
Inflammatory/Immunity mechanisms
Intra-abdominal infection after colorectal surgery.
Intracranial epidermoid cyst (IEC).
invasive breast cancer
Invasive ductal carcinoma (IDC)
invasive ER+/HER2? early breast cancer
invasive laryngeal cancer and dysplasia
Laryngeal squamous cell carcinoma (LSCC)
Leptomeningeal Metastases (LMD) in Breast Cancer
Liver cancer (predominantly HCC)
