Uniprot ID,Protein Name,URL
Q7RTN6,STRADA,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22STRADA%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens
Q9C0K7,STRADB,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22STRADB%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens
Q9H9S4,CAB39L,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22CAB39L%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens
Q9Y376,CAB39,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22CAB39%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens
Q15831,STK11,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22STK11%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens
P31749,AKT1,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22AKT1%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens
P23443,RPS6KB1,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22RPS6KB1%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens
P23588,EIF4B,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22EIF4B%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens
P62942,FKBP1A,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22FKBP1A%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens
Q04637,EIF4G1,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22EIF4G1%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens
P62753,RPS6,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22RPS6%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens
O00418,EEF2K,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22EEF2K%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens
P06730,EIF4E,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22EIF4E%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens
Q13541,EIF4EBP1,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22EIF4EBP1%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens
